Stock,Observation Period,Model Accuracy on Training Data,Model Accuracy on Test Data,True Positives,False Positives,False Negative,True Negative
CSCO,Five_Day_Observation_Outcome,0.6296174142480211,0.6235992089650626,821,118,453,125
CSCO,Thirty_Day_Observation_Outcome,0.6568271767810027,0.6526038233355307,779,175,352,211
CSCO,Sixty_Day_Observation_Outcome,0.6799142480211082,0.7000659195781147,765,179,276,297
TM,Five_Day_Observation_Outcome,0.6822005001136622,0.6777272727272727,1469,24,685,22
TM,Thirty_Day_Observation_Outcome,0.7232325528529211,0.7313636363636363,1566,51,540,43
TM,Sixty_Day_Observation_Outcome,0.73573539440782,0.7436363636363637,1582,50,514,54
V,Five_Day_Observation_Outcome,0.6829268292682927,0.6380165289256199,349,37,182,37
V,Thirty_Day_Observation_Outcome,0.711864406779661,0.656198347107438,352,56,152,45
V,Sixty_Day_Observation_Outcome,0.7180653162463828,0.6909090909090909,336,59,128,82
NVS,Five_Day_Observation_Outcome,0.7068452380952381,0.7253401360544217,843,11,312,10
NVS,Thirty_Day_Observation_Outcome,0.766156462585034,0.7874149659863946,921,5,245,5
NVS,Sixty_Day_Observation_Outcome,0.7923044217687075,0.7976190476190477,925,8,230,13
T,Five_Day_Observation_Outcome,0.685913185913186,0.6686681222707423,1203,28,579,22
T,Thirty_Day_Observation_Outcome,0.7355992355992356,0.712882096069869,1229,57,469,77
T,Sixty_Day_Observation_Outcome,0.7472017472017473,0.7188864628820961,1189,77,438,128
BAC,Five_Day_Observation_Outcome,0.6525628881170403,0.6586700336700336,1540,19,792,25
BAC,Thirty_Day_Observation_Outcome,0.6647721292495526,0.6856060606060606,1572,51,696,57
BAC,Sixty_Day_Observation_Outcome,0.686664561625092,0.710016835016835,1576,101,588,111
ADBE,Five_Day_Observation_Outcome,0.5953364817001181,0.5826446280991735,888,116,591,99
ADBE,Thirty_Day_Observation_Outcome,0.6235242030696576,0.6351829988193625,893,105,513,183
ADBE,Sixty_Day_Observation_Outcome,0.6221959858323495,0.6263282172373081,798,165,468,263
UN,Five_Day_Observation_Outcome,0.7431863230921705,0.7487611496531219,1492,17,490,19
UN,Thirty_Day_Observation_Outcome,0.7621407333994054,0.7646184340931615,1487,47,428,56
UN,Sixty_Day_Observation_Outcome,0.7548315163528245,0.7596630327056492,1395,84,401,138
PEP,Five_Day_Observation_Outcome,0.6953546246370801,0.6886401326699834,1637,30,721,24
PEP,Thirty_Day_Observation_Outcome,0.7416009954375777,0.7325870646766169,1760,14,631,7
PEP,Sixty_Day_Observation_Outcome,0.7622355868934052,0.7603648424543947,1815,20,558,19
UL,Five_Day_Observation_Outcome,0.704351059873559,0.7159147248388696,1436,6,567,8
UL,Thirty_Day_Observation_Outcome,0.7212098673608529,0.7297967278135845,1443,21,524,29
UL,Sixty_Day_Observation_Outcome,0.7358373620924755,0.7486365889935548,1473,19,488,37
MRK,Five_Day_Observation_Outcome,0.6689362541938031,0.6677190213101816,1675,12,830,17
MRK,Thirty_Day_Observation_Outcome,0.6952832050522992,0.6744277821625888,1691,32,793,18
MRK,Sixty_Day_Observation_Outcome,0.6995263469508585,0.6835043409629045,1711,53,749,21
TSM,Five_Day_Observation_Outcome,0.621071270473661,0.6292035398230088,674,36,383,37
TSM,Thirty_Day_Observation_Outcome,0.6491810535635237,0.6469026548672566,682,36,363,49
TSM,Sixty_Day_Observation_Outcome,0.6613545816733067,0.6442477876106195,659,55,347,69
ABBV,Five_Day_Observation_Outcome,0.6510667584308327,0.6675824175824175,233,9,112,10
ABBV,Thirty_Day_Observation_Outcome,0.7068134893324157,0.7115384615384616,233,17,88,26
ABBV,Sixty_Day_Observation_Outcome,0.698554714384033,0.7115384615384616,241,23,82,18
